L1 Code,L1 Name,L2 Code,L2 Name,L3 Code,L3 Name,L4 Code,L4 Name,Volume per month,Avg handle minutes,Rule based,PII,Safety critical,Executive,Systems,Exception rate,Notes
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.1,Contract Intake and Triage,11.3.1.1,Receive and log inbound contract request,4200,8,92,N,N,N,ServiceNow|SharePoint,0.04,
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.1,Contract Intake and Triage,11.3.1.2,Classify contract type against playbook,,,88,N,N,N,SharePoint API,0.06,
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.1,Contract Intake and Triage,11.3.1.3,Route request to the responsible legal pod,4100,4,94,N,N,N,ServiceNow,0.03,
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.1,Contract Intake and Triage,11.3.1.4,Validate counterparty against sanctions list,3800,5,90,N,N,N,Dow Jones API|SAP,0.05,
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.1,Contract Intake and Triage,11.3.1.5,Check requester authority and budget approval,3600,7,82,N,N,N,SAP|Workday,0.09,
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.2,Contract Drafting and Review,11.3.2.1,Extract key clauses from NDA,2900,22,84,N,N,N,SharePoint API|DocuSign,0.08,
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.2,Contract Drafting and Review,11.3.2.2,Compare clauses against approved playbook positions,2700,26,76,N,N,N,SharePoint API,0.12,
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.2,Contract Drafting and Review,11.3.2.3,Generate first-pass redline from template library,,,66,N,N,N,Word Online|DocuSign,0.16,
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.2,Contract Drafting and Review,11.3.2.4,Negotiate deviation from standard indemnity,620,95,22,N,N,N,Outlook,0.44,
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.2,Contract Drafting and Review,11.3.2.5,Advise business on residual contractual risk,,,14,N,N,N,Outlook,0.51,
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.2,Contract Drafting and Review,11.3.2.6,Assess enforceability in a new jurisdiction,180,180,12,N,N,N,Westlaw,0.55,
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.3,Contract Execution and Filing,11.3.3.1,Prepare execution version and signature block,2200,14,89,N,N,N,DocuSign API,0.05,
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.3,Contract Execution and Filing,11.3.3.2,Route contract for electronic signature,,,95,N,N,N,DocuSign API,0.03,
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.3,Contract Execution and Filing,11.3.3.3,File executed contract in the repository,2100,6,96,N,N,N,SharePoint API,0.02,
11.0,Manage Enterprise Risk and Compliance,11.3,Manage Legal Affairs,11.3.3,Contract Execution and Filing,11.3.3.4,Update contract metadata and key dates,2100,9,91,N,N,N,SharePoint API|SAP,0.04,
11.0,Manage Enterprise Risk and Compliance,11.4,Manage Compliance Obligations,11.4.1,Obligation Monitoring,11.4.1.1,Monitor renewal and expiry dates across portfolio,1800,10,93,N,N,N,SAP|SharePoint API,0.04,
11.0,Manage Enterprise Risk and Compliance,11.4,Manage Compliance Obligations,11.4.1,Obligation Monitoring,11.4.1.2,Track delivery obligations against contract terms,1500,18,78,N,N,N,SAP,0.14,
11.0,Manage Enterprise Risk and Compliance,11.4,Manage Compliance Obligations,11.4.1,Obligation Monitoring,11.4.1.3,Notify owner of an approaching contractual deadline,1700,4,96,N,N,N,Outlook|ServiceNow,0.02,
11.0,Manage Enterprise Risk and Compliance,11.4,Manage Compliance Obligations,11.4.1,Obligation Monitoring,11.4.1.4,Escalate a breach of a material obligation,240,65,28,N,N,N,Outlook,0.38,
11.0,Manage Enterprise Risk and Compliance,11.5,Manage Disputes,11.5.1,Dispute Handling,11.5.1.1,Collect evidence for a commercial dispute,,,44,Y,N,N,SharePoint|Outlook,0.34,
11.0,Manage Enterprise Risk and Compliance,11.5,Manage Disputes,11.5.1,Dispute Handling,11.5.1.2,Assess litigation exposure and reserve,90,240,12,N,N,N,Excel,0.48,
11.0,Manage Enterprise Risk and Compliance,11.5,Manage Disputes,11.5.1,Dispute Handling,11.5.1.3,Approve settlement above delegated authority,40,180,8,N,N,N,Outlook,0.52,
7.0,Develop and Manage Human Capital,7.9,Manage Employee Relations,7.9.2,Employment Matters,7.9.2.1,Review employment contract variation request,700,30,62,Y,N,N,Workday,0.2,
7.0,Develop and Manage Human Capital,7.9,Manage Employee Relations,7.9.2,Employment Matters,7.9.2.2,Advise manager on a disciplinary process,320,75,20,Y,N,N,Workday,0.42,
7.0,Develop and Manage Human Capital,7.9,Manage Employee Relations,7.9.2,Employment Matters,7.9.2.3,Prepare settlement agreement for an exit,180,90,40,Y,N,N,Word Online,0.3,
