L1 Code,L1 Name,L2 Code,L2 Name,L3 Code,L3 Name,L4 Code,L4 Name,Volume per month,Avg handle minutes,Rule based,PII,Safety critical,Executive,Systems,Exception rate,Notes
9.0,Manage Financial Resources,9.2,Process Accounts Payable,9.2.1,Invoice Receipt and Capture,9.2.1.1,Receive supplier invoice through the portal,41000,3,97,N,N,N,SAP Ariba API,0.02,
9.0,Manage Financial Resources,9.2,Process Accounts Payable,9.2.1,Invoice Receipt and Capture,9.2.1.2,Extract header and line data from invoice,,,93,N,N,N,SAP Ariba API|OCR,0.05,
9.0,Manage Financial Resources,9.2,Process Accounts Payable,9.2.1,Invoice Receipt and Capture,9.2.1.3,Validate supplier master data,39000,4,92,N,N,N,SAP,0.05,
9.0,Manage Financial Resources,9.2,Process Accounts Payable,9.2.1,Invoice Receipt and Capture,9.2.1.4,Detect duplicate invoice submissions,41000,2,98,N,N,N,SAP,0.01,
9.0,Manage Financial Resources,9.2,Process Accounts Payable,9.2.2,Matching and Exception Handling,9.2.2.1,Perform three-way match against PO and receipt,38000,6,91,N,N,N,SAP,0.09,
9.0,Manage Financial Resources,9.2,Process Accounts Payable,9.2.2,Matching and Exception Handling,9.2.2.2,Classify a match exception by root cause,3400,14,72,N,N,N,SAP,0.22,
9.0,Manage Financial Resources,9.2,Process Accounts Payable,9.2.2,Matching and Exception Handling,9.2.2.3,Resolve a price variance with the buyer,1900,32,44,N,N,N,SAP|Outlook,0.36,
9.0,Manage Financial Resources,9.2,Process Accounts Payable,9.2.2,Matching and Exception Handling,9.2.2.4,Resolve a quantity variance with the warehouse,,,48,N,N,N,SAP|WMS,0.33,
9.0,Manage Financial Resources,9.2,Process Accounts Payable,9.2.2,Matching and Exception Handling,9.2.2.5,Approve an exception outside tolerance,620,22,30,N,N,N,SAP,0.4,
9.0,Manage Financial Resources,9.2,Process Accounts Payable,9.2.3,Payment Processing,9.2.3.1,Schedule payment run by due date and terms,,,88,N,N,N,SAP,0.06,
9.0,Manage Financial Resources,9.2,Process Accounts Payable,9.2.3,Payment Processing,9.2.3.2,Release funds to the supplier,900,12,70,N,N,N,SAP|Bank API,0.08,
9.0,Manage Financial Resources,9.2,Process Accounts Payable,9.2.3,Payment Processing,9.2.3.3,Reconcile the bank statement to the payment run,620,26,84,N,N,N,SAP|Bank API,0.1,
9.0,Manage Financial Resources,9.2,Process Accounts Payable,9.2.3,Payment Processing,9.2.3.4,Investigate a failed or returned payment,,,52,N,N,N,SAP|Bank API,0.3,
9.0,Manage Financial Resources,9.5,Manage Fixed Assets,9.5.1,Asset Accounting,9.5.1.1,Capitalise an asset from a completed project,480,35,76,N,N,N,SAP,0.15,
9.0,Manage Financial Resources,9.5,Manage Fixed Assets,9.5.1,Asset Accounting,9.5.1.2,Calculate and post monthly depreciation,120,40,95,N,N,N,SAP,0.03,
9.0,Manage Financial Resources,9.5,Manage Fixed Assets,9.5.1,Asset Accounting,9.5.1.3,Reconcile the asset register to the ledger,96,90,82,N,N,N,SAP|Excel,0.12,
9.0,Manage Financial Resources,9.5,Manage Fixed Assets,9.5.1,Asset Accounting,9.5.1.4,Assess an asset for impairment,40,180,22,N,N,N,Excel,0.44,
4.0,Deliver Physical Products,4.2,Procure Materials,4.2.3,Supplier Performance,4.2.3.1,Collect supplier delivery performance data,260,30,90,N,N,N,SAP|Power BI,0.07,
4.0,Deliver Physical Products,4.2,Procure Materials,4.2.3,Supplier Performance,4.2.3.2,Generate the quarterly supplier scorecard,40,120,80,N,N,N,Power BI,0.12,
4.0,Deliver Physical Products,4.2,Procure Materials,4.2.3,Supplier Performance,4.2.3.3,Negotiate remediation with an underperforming supplier,,,16,N,N,N,Outlook,0.5,
