L1 Code,L1 Name,L2 Code,L2 Name,L3 Code,L3 Name,L4 Code,L4 Name,Volume per month,Avg handle minutes,Rule based,PII,Safety critical,Executive,Systems,Exception rate,Notes
5.0,Deliver Services,5.4,Manage Quality,5.4.1,Batch Record Review,5.4.1.1,Collect batch manufacturing records,1800,20,90,N,N,N,MES|Veeva,0.06,
5.0,Deliver Services,5.4,Manage Quality,5.4.1,Batch Record Review,5.4.1.2,Verify critical process parameters against spec,,,78,Y,N,N,MES|LIMS,0.14,
5.0,Deliver Services,5.4,Manage Quality,5.4.1,Batch Record Review,5.4.1.3,Reconcile material usage against the bill of materials,1700,30,86,N,N,N,SAP|MES,0.09,
5.0,Deliver Services,5.4,Manage Quality,5.4.1,Batch Record Review,5.4.1.4,Approve batch release for distribution,1600,60,30,Y,N,N,Veeva,0.18,
5.0,Deliver Services,5.4,Manage Quality,5.4.2,Deviation and CAPA,5.4.2.1,Log a manufacturing deviation,620,25,84,N,N,N,Veeva QMS,0.08,
5.0,Deliver Services,5.4,Manage Quality,5.4.2,Deviation and CAPA,5.4.2.2,Classify deviation severity and impact,620,50,54,Y,N,N,Veeva QMS,0.24,
5.0,Deliver Services,5.4,Manage Quality,5.4.2,Deviation and CAPA,5.4.2.3,Investigate root cause of a critical deviation,180,300,18,Y,N,N,Veeva QMS,0.46,
5.0,Deliver Services,5.4,Manage Quality,5.4.2,Deviation and CAPA,5.4.2.4,Draft the CAPA plan,,,40,Y,N,N,Veeva QMS,0.3,
5.0,Deliver Services,5.4,Manage Quality,5.4.2,Deviation and CAPA,5.4.2.5,Verify CAPA effectiveness after implementation,190,90,62,N,N,N,Veeva QMS,0.2,
11.0,Manage Enterprise Risk and Compliance,11.2,Manage Regulatory Compliance,11.2.4,Pharmacovigilance,11.2.4.1,Receive an adverse event report,,,88,Y,N,N,Argus Safety API,0.05,
11.0,Manage Enterprise Risk and Compliance,11.2,Manage Regulatory Compliance,11.2.4,Pharmacovigilance,11.2.4.2,Code the event using MedDRA terminology,3400,22,74,Y,N,N,Argus Safety,0.16,
11.0,Manage Enterprise Risk and Compliance,11.2,Manage Regulatory Compliance,11.2.4,Pharmacovigilance,11.2.4.3,Assess causality between product and event,3100,40,34,Y,N,N,Argus Safety,0.28,
11.0,Manage Enterprise Risk and Compliance,11.2,Manage Regulatory Compliance,11.2.4,Pharmacovigilance,11.2.4.4,Determine expedited reporting obligation,,,66,Y,N,N,Argus Safety,0.15,
11.0,Manage Enterprise Risk and Compliance,11.2,Manage Regulatory Compliance,11.2.4,Pharmacovigilance,11.2.4.5,Submit the report to the regulatory authority,2600,20,80,Y,N,N,Gateway API,0.08,
11.0,Manage Enterprise Risk and Compliance,11.2,Manage Regulatory Compliance,11.2.5,Submission Management,11.2.5.1,Compile a regulatory submission dossier,90,400,58,N,N,N,Veeva Vault,0.2,
11.0,Manage Enterprise Risk and Compliance,11.2,Manage Regulatory Compliance,11.2.5,Submission Management,11.2.5.2,Validate submission against the health authority checklist,90,120,82,N,N,N,Veeva Vault,0.1,
11.0,Manage Enterprise Risk and Compliance,11.2,Manage Regulatory Compliance,11.2.5,Submission Management,11.2.5.3,Respond to a health authority information request,140,260,24,N,N,N,Veeva Vault,0.42,
